match_id,season_year,date,stage,home,away,home_score,away_score,home_pens,away_pens,extra_time,penalties,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
18,2026,2026-06-16,Group Stage,IRQ,NOR,1,4,,,False,False,25,3.5296,1.4292,30-45_to_45-60,1,0.1219,0.0,0.0,0.678,0.1219,0.0,0.1219,0.0087,1.0866,-1.0779,0.0876,0.9967,-0.9091,0.5201,0.0,0.5201,0.03,0.0,0.03,0.0,0.678,-0.678
19,2026,2026-06-17,Group Stage,ARG,ALG,3,0,,,False,False,18,1.5922,0.6209,60-75_to_75-90plus,0,0.0,0.0,0.1341,0.0744,0.0,0.0,0.0,0.0946,0.0,0.0946,0.0504,0.0588,-0.0084,0.2533,0.1028,0.1505,0.7522,0.0716,0.6806,0.1341,0.0744,0.0597
20,2026,2026-06-17,Group Stage,AUT,JOR,3,1,,,False,False,25,2.648,0.8857,45-60_to_60-75,5,0.0177,0.0283,1.1166,0.0168,0.0177,0.0283,-0.0106,0.058,0.1358,-0.0778,0.1796,0.1787,0.0009,0.0154,0.178,-0.1626,0.7231,0.0,0.7231,1.1166,0.0168,1.0998
21,2026,2026-06-17,Group Stage,POR,COD,1,1,,,False,False,17,1.5119,0.6504,45-60_to_60-75,5,0.0524,0.0585,0.1519,0.1487,0.0524,0.0585,-0.0061,0.0281,0.0,0.0281,0.0171,0.0302,-0.0131,0.0,0.4189,-0.4189,0.4188,0.1873,0.2315,0.1519,0.1487,0.0032
22,2026,2026-06-17,Group Stage,ENG,CRO,4,2,,,False,False,33,4.3939,1.3664,0-15_to_15-30,1,1.6422,0.1663,0.4519,0.3051,1.6422,0.1663,1.4759,0.1095,0.0,0.1095,0.361,0.0527,0.3083,1.0906,0.1892,0.9014,0.0254,0.0,0.0254,0.4519,0.3051,0.1468
23,2026,2026-06-17,Group Stage,GHA,PAN,1,0,,,False,False,23,2.1224,0.6934,60-75_to_75-90plus,1,0.0,0.0725,1.0254,0.3662,0.0,0.0725,-0.0725,0.0,0.0,0.0,0.0,0.0613,-0.0613,0.1358,0.0372,0.0986,0.1949,0.2291,-0.0342,1.0254,0.3662,0.6592
24,2026,2026-06-18,Group Stage,UZB,COL,1,3,,,False,False,23,2.8113,0.7852,60-75_to_75-90plus,2,0.0,0.0,0.1544,0.3522,0.0,0.0,0.0,0.0,0.0528,-0.0528,0.0,0.6882,-0.6882,0.022,0.0909,-0.0689,1.0191,0.4317,0.5874,0.1544,0.3522,-0.1978
25,2026,2026-06-18,Group Stage,CZE,RSA,1,1,,,False,False,31,2.3703,0.9268,60-75_to_75-90plus,1,0.3692,0.0323,0.1398,1.0581,0.3692,0.0323,0.3369,0.0,0.0588,-0.0588,0.0359,0.0,0.0359,0.4162,0.1547,0.2615,0.0569,0.0484,0.0085,0.1398,1.0581,-0.9183
26,2026,2026-06-18,Group Stage,SUI,BIH,4,1,,,False,False,18,2.2425,1.3516,60-75_to_75-90plus,3,0.0357,0.0458,1.5961,0.0433,0.0357,0.0458,-0.0101,0.0286,0.0,0.0286,0.0,0.1324,-0.1324,0.1286,0.0,0.1286,0.2166,0.0154,0.2012,1.5961,0.0433,1.5528
27,2026,2026-06-18,Group Stage,CAN,QAT,6,0,,,False,False,37,5.2651,2.0376,60-75_to_75-90plus,1,0.0464,0.2219,2.1008,0.0,0.0464,0.2219,-0.1755,0.6087,0.0,0.6087,0.7173,0.0,0.7173,1.5068,0.0,1.5068,0.0632,0.0,0.0632,2.1008,0.0,2.1008
