match_id,season_year,competition,date,home,away,home_score,away_score,total_shots,total_xg,largest_xg_swing,largest_xg_swing_window,xg_lead_changes,xg_first_15_home,xg_first_15_away,xg_last_15_home,xg_last_15_away,xg_home_0-15,xg_away_0-15,xg_diff_0-15,xg_home_15-30,xg_away_15-30,xg_diff_15-30,xg_home_30-45,xg_away_30-45,xg_diff_30-45,xg_home_45-60,xg_away_45-60,xg_diff_45-60,xg_home_60-75,xg_away_60-75,xg_diff_60-75,xg_home_75-90plus,xg_away_75-90plus,xg_diff_75-90plus
29109,2526,PL,2026-04-25,ARS,NEW,1,0,24,1.5081,0.4647,60-75_to_75-90plus,2,0.0445,0.0502,0.2705,0.5174,0.0445,0.0502,-0.0057,0.016,0.2232,-0.2072,0.0,0.0669,-0.0669,0.0792,0.0,0.0792,0.229,0.0112,0.2178,0.2705,0.5174,-0.2469
29110,2526,PL,2026-04-21,BRI,CHE,3,0,21,2.8157,0.7024,15-30_to_30-45,0,0.4784,0.0,0.4736,0.1317,0.4784,0.0,0.4784,0.6861,0.0,0.6861,0.0,0.0163,-0.0163,0.558,0.0268,0.5312,0.3217,0.1231,0.1986,0.4736,0.1317,0.3419
29111,2526,PL,2026-04-22,BUR,MCI,0,1,37,4.4959,1.1149,60-75_to_75-90plus,2,0.3809,1.2482,0.0988,1.3026,0.3809,1.2482,-0.8673,0.3808,0.3018,0.0789,0.0,0.1221,-0.1221,0.0868,0.432,-0.3452,0.0265,0.1154,-0.0889,0.0988,1.3026,-1.2038
29112,2526,PL,2026-04-25,FLH,AVL,1,0,23,2.2282,0.5842,15-30_to_30-45,0,0.1673,0.0855,0.1967,0.4405,0.1673,0.0855,0.0818,0.0495,0.034,0.0155,0.7353,0.1356,0.5997,0.1164,0.0746,0.0418,0.0568,0.136,-0.0792,0.1967,0.4405,-0.2438
29113,2526,PL,2026-04-25,LIV,CRY,3,1,23,3.6819,0.7959,30-45_to_45-60,5,0.1029,0.4694,0.3012,0.3856,0.1029,0.4694,-0.3666,0.0,0.0868,-0.0868,1.0362,0.5415,0.4947,0.0,0.3012,-0.3012,0.0186,0.4385,-0.4199,0.3012,0.3856,-0.0844
29114,2526,PL,2026-04-27,MUN,BRE,2,1,23,3.1524,1.3139,0-15_to_15-30,0,0.8797,0.0,0.0151,0.1028,0.8797,0.0,0.8797,0.053,0.4873,-0.4342,0.7725,0.0922,0.6802,0.1282,0.1336,-0.0054,0.0,0.4879,-0.4879,0.0151,0.1028,-0.0877
29115,2526,PL,2026-04-24,SUN,NOT,0,5,25,2.1767,0.9548,15-30_to_30-45,6,0.084,0.1114,0.2492,0.4416,0.084,0.1114,-0.0274,0.1394,0.0861,0.0533,0.021,0.9225,-0.9014,0.0421,0.0,0.0421,0.0794,0.0,0.0794,0.2492,0.4416,-0.1924
29116,2526,PL,2026-04-25,WHU,EVE,2,1,21,3.0235,1.0426,30-45_to_45-60,3,0.2268,0.1823,0.5818,0.822,0.2268,0.1823,0.0445,0.1319,0.0,0.1319,0.0,0.1475,-0.1475,0.8951,0.0,0.8951,0.0,0.0361,-0.0361,0.5818,0.822,-0.2402
29117,2526,PL,2026-04-25,WOL,TOT,0,1,22,1.8921,0.5298,60-75_to_75-90plus,6,0.0,0.0677,0.3938,0.7307,0.0,0.0677,-0.0677,0.0743,0.0935,-0.0192,0.0,0.0187,-0.0187,0.0356,0.1527,-0.1171,0.259,0.0661,0.1929,0.3938,0.7307,-0.3369
29118,2526,PL,2026-05-03,BOU,CRY,3,0,24,2.9764,0.7912,30-45_to_45-60,0,0.3647,0.0,0.652,0.4203,0.3647,0.0,0.3647,0.2261,0.0,0.2261,0.8406,0.0,0.8406,0.2146,0.1651,0.0495,0.0,0.0929,-0.0929,0.652,0.4203,0.2317
29119,2526,PL,2026-05-02,ARS,FLH,3,0,28,4.8316,0.7167,15-30_to_30-45,0,0.9023,0.0,0.5484,0.0892,0.9023,0.0,0.9023,1.2569,0.0,1.2569,0.5816,0.0414,0.5403,0.8445,0.412,0.4325,0.0,0.1554,-0.1554,0.5484,0.0892,0.4592
29120,2526,PL,2026-05-03,AVL,TOT,1,2,15,1.7317,0.7897,15-30_to_30-45,0,0.0,0.1274,0.5727,0.0169,0.0,0.1274,-0.1274,0.0,0.8734,-0.8734,0.0,0.0836,-0.0836,0.0,0.0209,-0.0209,0.0368,0.0,0.0368,0.5727,0.0169,0.5558
29121,2526,PL,2026-05-02,BRE,WHU,3,0,28,3.03,0.6721,0-15_to_15-30,2,0.0139,0.0927,0.1688,0.093,0.0139,0.0927,-0.0789,0.7514,0.1582,0.5932,0.526,0.1264,0.3997,0.7808,0.2836,0.4972,0.0353,0.0,0.0353,0.1688,0.093,0.0758
29122,2526,PL,2026-05-04,CHE,NOT,1,3,27,4.4815,1.1532,0-15_to_15-30,0,0.0602,1.1126,0.8973,0.0,0.0602,1.1126,-1.0523,0.1009,0.0,0.1009,0.2012,0.163,0.0382,0.7968,1.0346,-0.2378,0.115,0.0,0.115,0.8973,0.0,0.8973
29123,2526,PL,2026-05-04,EVE,MCI,3,3,34,3.1578,0.7299,45-60_to_60-75,1,0.0,0.0274,0.6705,0.5107,0.0,0.0274,-0.0274,0.0436,0.5218,-0.4782,0.0774,0.2147,-0.1373,0.1809,0.1619,0.0191,0.749,0.0,0.749,0.6705,0.5107,0.1598
29124,2526,PL,2026-05-01,LED,BUR,3,1,27,2.5606,1.3387,30-45_to_45-60,0,0.171,0.0,0.1671,0.1796,0.171,0.0,0.171,0.1889,0.0,0.1889,0.0438,0.0474,-0.0037,1.3508,0.0158,1.335,0.2035,0.1927,0.0108,0.1671,0.1796,-0.0125
29125,2526,PL,2026-05-03,MUN,LIV,3,2,31,3.5858,1.5014,0-15_to_15-30,0,1.5076,0.0,0.2375,0.104,1.5076,0.0,1.5076,0.122,0.1158,0.0062,0.0355,0.0792,-0.0437,0.4057,0.5379,-0.1322,0.2494,0.1913,0.0581,0.2375,0.104,0.1334
29126,2526,PL,2026-05-02,NEW,BRI,3,1,26,5.0071,1.1324,30-45_to_45-60,1,0.4317,0.3299,1.1534,0.6902,0.4317,0.3299,0.1018,0.2223,0.0,0.2223,1.12,0.1679,0.9521,0.2019,0.3823,-0.1804,0.0,0.3076,-0.3076,1.1534,0.6902,0.4632
29127,2526,PL,2026-05-02,WOL,SUN,1,1,30,2.8853,1.2829,15-30_to_30-45,1,0.0,0.0,0.5867,0.1606,0.0,0.0,0.0,0.0367,0.5986,-0.5619,0.7209,0.0,0.7209,0.5724,0.0,0.5724,0.0446,0.1647,-0.1202,0.5867,0.1606,0.4262
29128,2526,PL,2026-05-09,BRI,WOL,3,0,18,2.7399,1.176,0-15_to_15-30,0,1.2545,0.0,0.5279,0.2782,1.2545,0.0,1.2545,0.0786,0.0,0.0786,0.0914,0.0,0.0914,0.2426,0.164,0.0786,0.0292,0.0734,-0.0442,0.5279,0.2782,0.2497
